"","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Amplitude","Latitude","Longitude","Area"
"Amsterdam","2.9","2.5","5.7","8.2","12.5","14.8","17.1","17.1","14.5","11.4","7","4.4","9.9","14.6","52.2","4.5","West"
"Athens","9.1","9.7","11.7","15.4","20.1","24.5","27.4","27.2","23.8","19.2","14.6","11","17.8","18.3","37.6","23.5","South"
"Berlin","-0.2","0.1","4.4","8.2","13.8","16","18.3","18","14.4","10","4.2","1.2","9.1","18.5","52.3","13.2","West"
"Brussels","3.3","3.3","6.7","8.9","12.8","15.6","17.8","17.8","15","11.1","6.7","4.4","10.3","14.4","50.5","4.2","West"
"Budapest","-1.1","0.8","5.5","11.6","17","20.2","22","21.3","16.9","11.3","5.1","0.7","10.9","23.1","47.3","19","East"
"Copenhagen","-0.4","-0.4","1.3","5.8","11.1","15.4","17.1","16.6","13.3","8.8","4.1","1.3","7.8","17.5","55.4","12.3","North"
"Dublin","4.8","5","5.9","7.8","10.4","13.3","15","14.6","12.7","9.7","6.7","5.4","9.3","10.2","53.2","6.1","North"
"Elsinki","-5.8","-6.2","-2.7","3.1","10.2","14","17.2","14.9","9.7","5.2","0.1","-2.3","4.8","23.4","60.1","25","North"
"Kiev","-5.9","-5","-0.3","7.4","14.3","17.8","19.4","18.5","13.7","7.5","1.2","-3.6","7.1","25.3","50.3","30.3","East"
"Krakow","-3.7","-2","1.9","7.9","13.2","16.9","18.4","17.6","13.7","8.6","2.6","-1.7","7.7","22.1","50","19.6","East"
"Lisbon","10.5","11.3","12.8","14.5","16.7","19.4","21.5","21.9","20.4","17.4","13.7","11.1","15.9","11.4","38.4","9.1","South"
"London","3.4","4.2","5.5","8.3","11.9","15.1","16.9","16.5","14","10.2","6.3","4.4","9.7","13.5","51.4","0","North"
"Madrid","5","6.6","9.4","12.2","16","20.8","24.7","24.3","19.8","13.9","8.7","5.4","13.9","19.7","40.2","3.4","South"
"Minsk","-6.9","-6.2","-1.9","5.4","12.4","15.9","17.4","16.3","11.6","5.8","0.1","-4.2","5.5","24.3","53.5","27.3","East"
"Moscow","-9.3","-7.6","-2","6","13","16.6","18.3","16.7","11.2","5.1","-1.1","-6","5.1","27.6","55.7","37.6","East"
"Oslo","-4.3","-3.8","-0.6","4.4","10.3","14.9","16.9","15.4","11.1","5.7","0.5","-2.9","5.6","21.2","59.5","10.5","North"
"Paris","3.7","3.7","7.3","9.7","13.7","16.5","19","18.7","16.1","12.5","7.3","5.2","11.2","15.3","48.5","2.2","West"
"Prague","-1.3","0.2","3.6","8.8","14.3","17.6","19.3","18.7","14.9","9.4","3.8","0.3","9.2","20.6","50","14.2","East"
"Reykjavik","-0.3","0.1","0.8","2.9","6.5","9.3","11.1","10.6","7.9","4.5","1.7","0.2","4.6","11.4","64.1","21.6","North"
"Rome","7.1","8.2","10.5","13.7","17.8","21.7","24.4","24.1","20.9","16.5","11.7","8.3","15.4","17.3","41.5","12.3","South"
"Sarajevo","-1.4","0.8","4.9","9.3","13.8","17","18.9","18.7","15.2","10.5","5.1","0.8","9.4","20.3","43.5","18.3","South"
"Sofia","-1.7","0.2","4.3","9.7","14.3","17.7","20","19.5","15.8","10.7","5","0.6","9.6","21.7","42.4","23.2","East"
"Stockholm","-3.5","-3.5","-1.3","3.5","9.2","14.6","17.2","16","11.7","6.5","1.7","-1.6","5.8","20.7","59.2","18","North"
"Antwerp","3.1","2.9","6.2","8.9","12.9","15.5","17.9","17.6","14.7","11.5","6.8","4.7","10.3","15","51.1","4.2","West"
"Barcelona","9.1","10.3","11.8","14.1","17.4","21.2","24.2","24.1","21.7","17.5","13.1","10","16.2","15.1","41.2","2.2","South"
"Bordeaux","5.6","6.7","9","11.9","15","18.3","20.4","20","17.6","13.5","8.5","6.1","12.7","14.8","44.5","0.3","West"
"Edinburgh","2.9","3.6","4.7","7.1","9.9","13","14.7","14.3","12.1","8.7","5.3","3.7","8.3","11.8","55","3","North"
"Frankfurt","0.2","1.8","5.4","9.7","14.3","17.5","19","18.3","14.8","9.8","4.9","1.7","9.8","18.8","50.1","8.4","West"
"Geneva","0.1","1.9","5.1","9.4","13.8","17.3","19.4","18.5","15","9.8","4.9","1.4","9.7","19.3","46.1","6.1","West"
"Genoa","8.7","8.7","11.4","13.8","17.5","21","24.5","24.6","21.8","17.8","12.2","10","16.1","15.9","44.3","9.4","South"
"Milan","1.1","3.6","8","12.6","17.3","21.3","23.8","22.8","18.9","13.1","6.9","2.6","12.6","22.7","45.3","9.2","South"
"Palermo","10.5","11.5","13.3","16.9","20.9","23.8","24.5","22.3","22.3","18.4","14.9","12","16.6","14","38.1","13.1","South"
"Seville","10.7","11.8","14.1","16.1","19.7","23.4","26.7","26.7","24.3","19.4","14.5","11.2","18.2","16","37.2","5.6","South"
"St. Petersburg","-8.2","-7.9","-3.7","3.2","10","15.4","18.4","16.9","11.5","5.2","-0.4","-5.3","4.5","26.6","59.6","30.2","East"
"Zurich","-0.7","0.7","4.3","8.5","12.9","16.2","18","17.2","14.1","8.9","3.9","0.3","8.7","18.7","47.2","8.3","West"
